id,default_code,name,description_purchase,description_sale,purchase_ok,sale_ok,type,track_service,invoice_policy,route_ids,chemistry,list_price,taxes_id/id,standard_price,sale_delay,warranty,uom_id/id,categ_id/id,uom_po_id/id,company_id/id
__setup__.product_1101,1101,Colorants azoïques,,,,TRUE,service,Create a task and track hours,Delivered quantities,,chem,130,l10n_ch.3_vat_O_exclude,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1103,1103,Compression,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1104,1104,Compression initiale : 30%,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1105,1105,Contamination métaux,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,350,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1106,1106,Contrôle,,,,TRUE,Consumable,,,,,2.65,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1107,1107,Contrôle / visitage / mesures,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,3,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1108,1108,Contrôle après 14 jours,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1109,1109,Contrôle après 7 jours,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1110,1110,Contrôle chassage/déchassage goupilles,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,30,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1111,1111,Contrôle densité,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,80,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1112,1112,Contrôle étanchéité,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,40,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
