city;country_id/id;id;is_company;customer;lang;lastname;street;street2;tz;zip
LUXEMBOURG;base.lu;scenario.user_center_luxembourg_res_partner;False;False;fr_FR;LUXEMBOURG;56 Grande rue;;Europe/Luxembourg;L-1660
PARIS;base.fr;scenario.company_agencyfr_center74_res_partner;True;True;fr_FR;PARIS 9 SAINT LAZARE;14 RUE ST LAZARE;;Europe/Paris;75009
PARIS;base.fr;scenario.user_center_paris9_res_partner;False;False;fr_FR;PARIS 9 SAINT LAZARE;14 rue Saint Lazare;;Europe/Paris;75009
BESANCON;base.fr;scenario.company_agencyfr_center75_res_partner;True;True;fr_FR;BESANÇON;25 rue Bersot;;Europe/Paris;25000
BESANÇON;base.fr;scenario.user_center_besancon_res_partner;False;False;fr_FR;BESANÇON;25 rue Bersot;;Europe/Paris;25000
AIX EN PROVENCE;base.fr;scenario.company_agencyfr_center76_res_partner;True;True;fr_FR;AIX EN PROVENCE;5 Rue Papassaudi;;Europe/Paris;13100
AIX EN PROVENCE;base.fr;scenario.user_center_aixenprovence_res_partner;False;False;fr_FR;AIX EN PROVENCE;5 Rue Papassaudi;;Europe/Paris;13100
CLERMONT FERRAND;base.fr;scenario.company_agencyfr_center77_res_partner;True;True;fr_FR;CLERMONT FERRAND;9 rue Eugène Gilbert;;Europe/Paris;63000
CLERMONT-FERRAND;base.fr;scenario.user_center_clermont_res_partner;False;False;fr_FR;CLERMONT FERRAND;9 rue Eugène Gilbert;;Europe/Paris;63000
YERRES;base.fr;scenario.company_agencyfr_center78_res_partner;True;True;fr_FR;LE MANS;17 RUE DES BICHES;;Europe/Paris;91330
LE MANS;base.fr;scenario.user_center_lemans_res_partner;False;False;fr_FR;LE MANS;3 Route d'Allonnes;;Europe/Paris;72100
CHATEAUROUX;base.fr;scenario.company_agencyfr_center79_res_partner;True;True;fr_FR;CHATEAUROUX;12 SQUARE SAINT JOHN PERSE;;Europe/Paris;36000
CHATEAUROUX;base.fr;scenario.user_center_chateauroux_res_partner;False;False;fr_FR;CHATEAUROUX;12 Rue Victor Hugo;;Europe/Paris;36000
ANGERS;base.fr;scenario.company_agencyfr_center81_res_partner;True;True;fr_FR;ANGERS;48 rue Plantagenet;;Europe/Paris;49100
BAYONNE;base.fr;scenario.company_agencyfr_center83_res_partner;True;True;fr_FR;BAYONNE;11 Rue du grand Limpou;;Europe/Paris;64100
BAYONNE;base.fr;scenario.user_center_bayonne_res_partner;False;False;fr_FR;BAYONNE;23 rue Port Neuf;;Europe/Paris;64100
LANDUNVEZ;base.fr;scenario.company_agencyfr_center84_res_partner;True;True;fr_FR;BREST;4 TY PRY;;Europe/Paris;29840
BREST;base.fr;scenario.user_center_brest_res_partner;False;False;fr_FR;BREST;35, rue Emile Zola;;Europe/Paris;29200
CAGNES SUR MER;base.fr;scenario.company_agencyfr_center85_res_partner;True;True;fr_FR;CAGNES SUR MER;20 BD Maréchal JUIN;;Europe/Paris;6800
CAGNES SUR MER;base.fr;scenario.user_center_cagnes_res_partner;False;False;fr_FR;CAGNES SUR MER;20 Boulevard Maréchal Juin;;Europe/Paris;6800
MULHOUSE;base.fr;scenario.company_agencyfr_center87_res_partner;True;True;fr_FR;COLMAR;36 Rue Paul Cézanne;;Europe/Paris;68200
COLMAR;base.fr;scenario.user_center_colmar_res_partner;False;False;fr_FR;COLMAR;21 rue Vauban;;Europe/Paris;68000
AGNETZ;base.fr;scenario.company_agencyfr_center88_res_partner;True;True;fr_FR;COMPIEGNE;303 Rue de Fay;;Europe/Paris;60600
TIGERY;base.fr;scenario.company_agencyfr_center89_res_partner;True;True;fr_FR;EVRY 2;15 rue Henri Poincaré;;Europe/Paris;91250
EVRY;base.fr;scenario.user_center_evry_res_partner;False;False;fr_FR;EVRY 2;Centre Régional Commercial EVRY 2;;Europe/Paris;91000
COUZEIX;base.fr;scenario.company_agencyfr_center92_res_partner;True;True;fr_FR;LIMOGES;45 RUE DE GORCEIX;;Europe/Paris;87270
MARSEILLE;base.fr;scenario.company_agencyfr_center93_res_partner;True;True;fr_FR;MARSEILLE 2;111 rue de la République;;Europe/Paris;13002
MARSEILLE;base.fr;scenario.user_center_marseille2_res_partner;False;False;fr_FR;MARSEILLE 2;111 rue de la république;;Europe/Paris;13002
METZ;base.fr;scenario.company_agencyfr_center94_res_partner;True;True;fr_FR;METZ;17 avenue de Leclerc de Hauteclocque;;Europe/Paris;57000
METZ;base.fr;scenario.user_center_metz_res_partner;False;False;fr_FR;METZ;17 Avenue Leclerc De Hautecloque;;Europe/Paris;57000
MONTLUÇON;base.fr;scenario.company_agencyfr_center95_res_partner;True;True;fr_FR;MONTLUÇON;9 rue du faubourg St Pierre;;Europe/Paris;3100
MONTLUÇON;base.fr;scenario.user_center_montlucon_res_partner;False;False;fr_FR;MONTLUÇON;9 rue du faubourg St Pierre;;Europe/Paris;3100
NIMES;base.fr;scenario.company_agencyfr_center97_res_partner;True;True;fr_FR;NIMES;3 rue Fresque;;Europe/Paris;30000
NIMES;base.fr;scenario.user_center_nimes_res_partner;False;False;fr_FR;NIMES;3 rue Fresque;;Europe/Paris;30000
JOUY-AUX-ARCHES;base.fr;scenario.company_agencyfr_center98_res_partner;True;True;fr_FR;REIMS;45 B Grand'Rue;;Europe/Paris;57130
RENNES;base.fr;scenario.company_agencyfr_center99_res_partner;True;True;fr_FR;RENNES;24 A Bd Laennec;;Europe/Paris;35000
RENNES;base.fr;scenario.user_center_rennes_res_partner;False;False;fr_FR;RENNES;32 boulevard de la liberté;;Europe/Paris;35000
SAINTE MARIE;base.re;scenario.company_agencyre_center100_res_partner;True;True;fr_FR;SAINT DENIS DE LA REUNION;85 IMPASSE CORNEIL;;Indian/Reunion;97438
SAINT DENIS DE LA REUNION;base.re;scenario.user_center_saintdenis_res_partner;False;False;fr_FR;SAINT DENIS DE LA REUNION;101 rue Général de Gaulle;;Indian/Reunion;97400
ROUEN;base.fr;scenario.company_agencyfr_center101_res_partner;True;True;fr_FR;ROUEN;23 RUE GRAND PONT;;Europe/Paris;76000
ROUEN;base.fr;scenario.user_center_rouen_res_partner;False;False;fr_FR;ROUEN;23 rue Grand Pont;;Europe/Paris;76000
YERRES;base.fr;scenario.company_agencyfr_center102_res_partner;True;True;fr_FR;SABLE SUR SARTHE;17 rue des Biches;;Europe/Paris;91330
SABLE-SUR-SARTHE;base.fr;scenario.user_center_sable_res_partner;False;False;fr_FR;SABLE SUR SARTHE;Route du Mans;;Europe/Paris;72300
THIONVILLE;base.fr;scenario.company_agencyfr_center104_res_partner;True;True;fr_FR;THIONVILLE;36 RUE DE PARIS;;Europe/Paris;57100
THIONVILLE;base.fr;scenario.user_center_thionville_res_partner;False;False;fr_FR;THIONVILLE;36 rue de Paris;;Europe/Paris;57100
RODEZ;base.fr;scenario.company_agencyfr_center105_res_partner;True;True;fr_FR;RODEZ;3 Avenue de Bourran;;Europe/Paris;12000
RODEZ;base.fr;scenario.user_center_rodez_res_partner;False;False;fr_FR;RODEZ;3 avenue Bourran - Res. Acropolis;;Europe/Paris;12000
MULHOUSE;base.fr;scenario.company_agencyfr_center106_res_partner;True;True;fr_FR;STRASBOURG;36 rue Paul Cézanne;;Europe/Paris;68200
STRASBOURG;base.fr;scenario.user_center_strasbourg_res_partner;False;False;fr_FR;STRASBOURG;20 Rue du Jeu des Enfants;;Europe/Paris;67000
TOULOUSE;base.fr;scenario.company_agencyfr_center107_res_partner;True;True;fr_FR;TOULOUSE;17 rue de Metz;;Europe/Paris;31000
TOULOUSE;base.fr;scenario.user_center_toulouse_res_partner;False;False;fr_FR;TOULOUSE;17 rue de Metz;;Europe/Paris;31000
CHÂTEAUROUX;base.fr;scenario.company_agencyfr_center108_res_partner;True;True;fr_FR;TOURS;12 square St John Perse;;Europe/Paris;36000
TOURS;base.fr;scenario.user_center_tours_res_partner;False;False;fr_FR;TOURS;10 rue de Néricault;;Europe/Paris;37000
PONT DU CHATEAU;base.fr;scenario.company_agencyfr_center109_res_partner;True;True;fr_FR;VICHY;70 Chemin des Littes;;Europe/Paris;63430
VICHY;base.fr;scenario.user_center_vichy_res_partner;False;False;fr_FR;VICHY;24 rue de Paris;;Europe/Paris;3200
MULHOUSE;base.fr;scenario.company_agencyfr_center110_res_partner;True;True;fr_FR;MULHOUSE;25 rue Henriette;;Europe/Paris;68100
MULHOUSE;base.fr;scenario.user_center_mulhouse_res_partner;False;False;fr_FR;MULHOUSE;25 rue Henriette;;Europe/Paris;68100
AGNETZ;base.fr;scenario.company_agencyfr_center111_res_partner;True;True;fr_FR;BEAUVAIS;303 Rue de Fay;;Europe/Paris;60600
ANGERS;base.fr;scenario.company_agencyfr_center112_res_partner;True;True;fr_FR;VANNES;3 Bd du Maréchal JOFFRE;;Europe/Paris;49100
VANNES;base.fr;scenario.user_center_vannes_res_partner;False;False;fr_FR;VANNES;11 rue Emile Burgault;;Europe/Paris;56000
CHAMBERY;base.fr;scenario.company_agencyfr_center114_res_partner;True;True;fr_FR;CHAMBERY;11 rue DOPPET;;Europe/Paris;73000
CHAMBERY;base.fr;scenario.user_center_chambery_res_partner;False;False;fr_FR;CHAMBERY;11 rue DOPPET;;Europe/Paris;73000
ROUEN;base.fr;scenario.company_agencyfr_center115_res_partner;True;True;fr_FR;SAINT-GERMAIN-EN-LAYE;23 rue du Grand Pont;;Europe/Paris;76000
CAEN;base.fr;scenario.company_agencyfr_center116_res_partner;True;True;fr_FR;CAEN;166 rue Saint Jean;;Europe/Paris;14000
CAEN;base.fr;scenario.user_center_caen_res_partner;False;False;fr_FR;CAEN;166 rue Saint Jean;;Europe/Paris;14000
POITIERS;base.fr;scenario.company_agencyfr_center117_res_partner;True;True;fr_FR;POITIERS;216 avenue du 8 mai 1945;;Europe/Paris;86000
POITIERS;base.fr;scenario.user_center_poitiers_res_partner;False;False;fr_FR;POITIERS;216 avenue du 8 Mai 1945;;Europe/Paris;86000
;base.fr;scenario.company_agencyfr_center118_res_partner;True;True;;QUIMPER;;;Europe/Paris;
DIJON;base.fr;scenario.company_agencyfr_center119_res_partner;True;True;fr_FR;DIJON;6 Rue du Docteur Quignard;;Europe/Paris;21000
DIJON;base.fr;scenario.user_center_dijon_res_partner;False;False;fr_FR;DIJON;3 rue Parmentier;;Europe/Paris;21000
LYON;base.fr;scenario.company_agencyfr_center120_res_partner;True;True;fr_FR;PARIS 15 BEAUGRENELLE;2 place jules Ferry;;Europe/Paris;69006
PARIS;base.fr;scenario.user_center_paris15_res_partner;False;False;fr_FR;PARIS 15 BEAUGRENELLE;16 Rue Beaugrenelle;;Europe/Paris;75015
SAINT LAURENT DU VAR;base.fr;scenario.company_agencyfr_center122_res_partner;True;True;fr_FR;SAINT LAURENT DU VAR;29 avenue du maréchal juin;;Europe/Paris;6700
SAINT LAURENT DU VAR - CAP 3000;base.fr;scenario.user_center_saintlaurent_res_partner;False;False;fr_FR;SAINT LAURENT DU VAR;Secteur Cap 3000;;Europe/Paris;6700
PARIS;base.fr;scenario.company_agencyfr_center123_res_partner;True;True;fr_FR;PARIS 14 DENFERT ROCHEREAU;161 AVENUE DU MAINE;;Europe/Paris;75014
